"customer_id","customer_code","name","mobile","additional_mobiles","email","address","gstin","customer_type","credit_limit","outstanding_balance","created_at","status"
"CUST-110","CUST-110","Sunil Graphics","989XXXX223","","","","","Retail","0","10000","2026-09-18 14:08:19","Active"
"CUST-119","MIN-709","minhaj 2","860XXXX796","","","","","Retail","0","0","2026-09-18 08:33:30","Active"
"CUST-129","MIN-544","minhaj","860XXXX796","","","","","Retail","0","0","2026-09-18 08:33:07","Active"
"CUST-101","ARC-101","Apex Retail Solutions Pvt Ltd","982XXXX223","","pr***t@apexretail.com","Suite 402, Trade Tower, BKC, Mumbai 400051","27AAACA1234F1Z5","Retail","0","45200","2026-08-13 05:04:10","Active"
"CUST-102","SGA-102","Shree Ganesh Advertising (Dealer)","989XXXX556","","sh***s@gmail.com","Shop 12, Station Road, Thane West 400601","27BCDPS9911B1Z3","Retail","0","18500","2026-08-13 05:04:10","Active"
"CUST-103","MEC-103","Dr. Alok Mehta (Mehta Eye Clinic)","986XXXX990","","dr***k@mehtaeyeclinic.org","Plot 88, SV Road, Malad West, Mumbai 400064","","Retail","0","0","2026-08-13 05:04:10","Active"
"CUST-104","MTDC-104","Maharashtra Tourism Dev Corp (MTDC)","942XXXX112","","ev***s@mtdc.gov.in","MTDC Bhavan, Nariman Point, Mumbai 400021","27MUMT00192A1Z9","Retail","0","112000","2026-08-13 05:04:10","Active"
"CUST-105","WALK-105","Rahul Verma (Walk-in)","981XXXX445","","ve***9@gmail.com","Andheri West, Mumbai","","Retail","0","0","2026-08-13 05:04:10","Active"
"CUST-106","GCC-106","Gujarat Commercial Corp (Interstate)","987XXXX443","","in***o@gujaratcorp.in","SG Highway, Ahmedabad, Gujarat 380015","24AAACG8877K1ZB","Retail","0","64000","2026-08-13 05:04:10","Active"
"CUST-107","ZET-107","Zeta Fashion Pvt Ltd","982XXXX998","","br***g@zetafashion.in","Phoenix Mall City, Kurla, Mumbai 400070","27ZETAF8811P1Z9","Retail","0","28000","2026-08-13 05:04:10","Active"
"CUST-108","KOM-108","Karnataka Outdoor Media Agency","984XXXX345","","op***s@karnatakaoutdoor.com","MG Road, Bengaluru, Karnataka 560001","29AAACK9911D1Z4","Retail","0","85000","2026-08-13 05:04:10","Active"
