"task_id","task_date","employee_id","employee_name","order_id","order_number","customer_name","process_name","quantity","unit","start_time","end_time","total_duration_minutes","status","priority","machine_name","department","completed_qty","rejected_qty","rework_qty","qc_status","created_by","completed_by","completed_at"
"TSK-1789739084503-e5kg","2026-09-18","EMP-107","Sunil Vishwakarma","SO-TEST-001","SO-TEST-001","Sunil Graphics","Digital Printing","1","Sq.Ft","07:14 PM","","0","Started","Normal","","Production","0","0","0","Pending","Vikas Patil","",""
"TSK-1789739058162-qe18","2026-09-18","EMP-106","Vikas Patil","SO-TEST-001","SO-TEST-001","Sunil Graphics","Digital Printing","2","Sq.Ft","07:14 PM","","0","Started","Normal","","Production","0","0","0","Pending","Vikas Patil","",""
"TSK-1001","2026-09-12","EMP-110","Afsal","SO-2026-0891","SO-2026-0891","Apex Retail Solutions Pvt Ltd","Seal Making","50","Nos","09:00 AM","10:30 AM","90","Completed","Normal","","Production","50","0","0","Approved","Admin User","Afsal","2026-09-12T10:30:00.000Z"
"TSK-1002","2026-09-12","EMP-110","Afsal","SO-2026-0892","SO-2026-0892","Shree Ganesh Advertising (Dealer)","Sticker Cutting","500","Pcs","10:45 AM","12:00 PM","75","Completed","Normal","","Production","500","0","0","Approved","Admin User","Afsal","2026-09-12T12:00:00.000Z"
"TSK-1003","2026-09-12","EMP-110","Afsal","SO-2026-0891","SO-2026-0891","Apex Retail Solutions Pvt Ltd","Scoring","1000","Nos","01:00 PM","02:00 PM","60","Completed","Normal","","Production","1000","0","0","Approved","Admin User","Afsal","2026-09-12T14:00:00.000Z"
"TSK-1004","2026-09-12","EMP-110","Afsal","SO-2026-0893","SO-2026-0893","Gujarat Commercial Corp (Interstate)","Flex Printing","1200","Sq.Ft","02:15 PM","04:30 PM","135","Completed","Urgent","","Printing","1200","0","0","Approved","Admin User","Afsal","2026-09-12T16:30:00.000Z"
"TSK-1005","2026-09-12","EMP-111","Niyas","SO-2026-0885","SO-2026-0885","Maharashtra Tourism Dev Corp (MTDC)","Designing","5000","Nos","09:00 AM","10:00 AM","60","Completed","Normal","","Design","5000","0","0","Approved","Admin User","Niyas","2026-09-12T10:00:00.000Z"
"TSK-1006","2026-09-12","EMP-110","Afsal","SO-2026-0885","SO-2026-0885","Maharashtra Tourism Dev Corp (MTDC)","Digital Printing","5000","Nos","10:00 AM","11:30 AM","90","Completed","Normal","Konica Minolta C6085 Digital Press","Printing","5000","0","0","Approved","Admin User","Afsal","2026-09-12T11:30:00.000Z"
"TSK-1007","2026-09-12","EMP-112","Rahman","SO-2026-0885","SO-2026-0885","Maharashtra Tourism Dev Corp (MTDC)","Lamination","5000","Nos","11:30 AM","12:45 PM","75","Completed","Normal","Royal 65"" Hot & Cold Roll Laminator","Production","5000","0","0","Approved","Admin User","Rahman","2026-09-12T12:45:00.000Z"
"TSK-1008","2026-09-12","EMP-110","Afsal","SO-2026-0885","SO-2026-0885","Maharashtra Tourism Dev Corp (MTDC)","Cutting","5000","Nos","01:00 PM","","144","Started","Normal","Polar 78 High-Speed Paper Guillotine","Production","3200","0","0","Pending","Admin User","",""
"TSK-1009","2026-09-12","EMP-113","Sameer","SO-2026-0885","SO-2026-0885","Maharashtra Tourism Dev Corp (MTDC)","Packing","5000","Nos","","","0","Pending","Normal","","Production","0","0","0","Pending","Admin User","",""
"TSK-1010","2026-09-12","EMP-112","Rahman","SO-2026-0870","SO-2026-0870","Zeta Fashion Pvt Ltd","Lamination","200","Nos","01:00 PM","","40","Paused","Normal","","Production","100","0","0","Pending","Admin User","",""
"TSK-1011","2026-09-12","EMP-106","Vikas Patil","SO-2026-0850","SO-2026-0850","Karnataka Outdoor Media Agency","Large Format Printing","1500","Sq.Ft","09:30 AM","","110","Rework","High","","Printing","1200","300","300","Rework Required","Admin User","",""
